name,content
100斤女警穿70斤衣服排爆,10月3日，一名体重百斤的女警身着70斤排爆服执行任务，以专业操作确保现场安全。
13岁男孩夏令营遭体罚致横纹肌溶解,13岁男孩在夏令营遭体罚致横纹肌溶解，事件引发社会关注。
17岁女生威海旅游被性侵,9月28日，一名17岁女生在威海旅游期间遭遇性侵，案件正在调查中。
17岁未成年彝族女孩成代孕妈妈,2025年3月24日，一名17岁彝族未成年女孩被曝光涉及非法代孕事件，引发社会对未成年人权益保护的关注。
1万元皮草机洗烘干后报废了,2025年3月1日，一件万元皮草因被机洗烘干导致严重损毁，最终报废。
21岁演员排练时发病送医后身亡,9月27日，21岁演员排练期间突发疾病送医抢救无效离世。
2岁男童吃奶酪棒卡喉身亡,2025年3月2日，一名2岁男童因食用奶酪棒发生卡喉不幸窒息身亡。
2男子偷大学生外卖被抓现行,8月25日凌晨，两名男子在盗窃大学生外卖时被当场抓获。
749局,2024年9月23日凌晨2时40分，749局就相关事件发布正式通报。
95后国企干部为伪装贪腐借贷生活,2025年3月27日，一名95后国企干部为掩盖贪腐行为，长期通过借贷维持表面生活。
95后女孩出租自己1年假结婚七八次,95后女子一年内“假结婚”七八次牟利，警方介入调查。
A股疯牛,2024年9月27日早盘，A股市场出现急速拉升行情，三大股指集体飙涨。
iphone16成本拆解,2024年10月5日，专业机构完成iPhone 16全系成本拆解，揭示其核心零部件成本结构及供应链布局。
iPhone被锁10年机主否认造假,iPhone机主否认造假，坚持要求解锁被锁十年的设备。
LNG空签,2024年9月14日8时40分，国内液化天然气（LNG）现货市场出现无成交的“空签”情况。
lululemon代工厂号称自家平替能以假乱真,lululemon代工厂宣称其仿制产品可媲美正品，引发市场关注。
NPC假借游戏猥亵女孩获刑1年半,2025年3月19日，一男子因在网络游戏中冒充NPC猥亵未成年少女，被法院依法判处有期徒刑一年六个月。
一句话让HR内耗一天,2025年3月18日，某员工一句职场言论引发企业人力资源部门持续整日的工作反思与内部讨论。
丈夫给足球打气递给妻子时突然爆炸,9月13日，一男子给足球打气时突遇爆炸，其妻在旁险被波及。
三只羊被立案调查,2024年9月15日，知名直播机构“三只羊”因涉嫌违规被有关部门正式立案调查。
上交所道歉,上交所就9月20日早间交易系统故障致歉，称将完善应急机制。
上海女代驾遭酒后男女暴力殴打,9月12日凌晨，上海一女代驾遭酒后男女暴力殴打，警方已介入调查。
上海最窄人行道仅10厘米宽,上海惊现10厘米“最窄人行道”，市民通行需“侧身而过”。
上海有二手房涨价百万,上海二手房市场现跳价现象，有房东一夜提价百万元，引发市场关注。
东北雨姐,9月23日晚，知名短视频创作者“东北雨姐”在直播中突发意外受伤，引发网友关切，目前情况稳定。
乐事薯片被曝含致癌添加剂,2025年3月24日，乐事薯片被曝光含有潜在致癌添加剂，引发公众健康担忧。
买东西前看检测报告靠谱吗,2025年3月28日，市场监管部门提醒消费者，购物前主动查验权威检测报告是保障权益的有效方式。
于正回应白鹿剧扑了,2025年3月28日凌晨，制片人于正公开回应白鹿新剧收视未达预期，承认市场表现不佳。
于适劈腿,2024年9月10日，演员于适被曝出轨传闻，引发舆论关注。
付费让大码女孩吃大量食物,2024年9月2日，有报道称某平台出现付费要求大码女性过量进食的争议内容。
以军空袭黎巴嫩首都已致5死,以军空袭黎巴嫩首都致5人死亡。
伊以冲突,2024年10月1日凌晨，以色列与伊朗在边境地区爆发军事冲突，双方交火持续数小时。
俄乌以1比21交换遗体,2025年3月29日，俄乌双方以1:21比例交换阵亡士兵遗体。
假冒媒体杜撰网文被立案侦查,【网信部门依法对假冒媒体发布不实网文行为立案侦查】
停车7小时被收费217.5元.csv,2024年10月3日，一车主因停车7小时被收取217.5元高额费用引发热议。
儿子给腰突父亲买40小时硬座,孝子为患腰突父亲购40小时硬座引热议，铁路部门介入协助升级席位。
列车员给孕妇推销建议买不建议用,2025年3月28日，某列车员被指在列车上向孕妇推销“建议购买但不建议使用”的产品引发争议。
刘耕宏谈流量焦虑,2025年3月27日，刘耕宏公开坦言面临流量焦虑，引发公众关注。
北京税务局原局长李亚民被查,2025年3月21日，北京市税务局原局长李亚民涉嫌严重违纪违法接受审查调查。
医院回应幼童游乐场溺水沉底,10月4日，医院回应幼童游乐场溺水事件，称事发后已第一时间全力抢救。
华晨宇 黄霄雲,2025年2月28日晚，华晨宇与黄霄雲在某活动中同台亮相。
单依纯口误,2024年9月2日凌晨，歌手单依纯在公开活动中出现口误。
