event_name,description,label,series
杨国福麻辣烫就出现老鼠致歉_最终事件描述,"杨国福麻辣烫“老鼠事件”引发持续近一周的舆论风暴，整体呈现以下发展脉络：  
1. **爆发期（1-128小时）**：事件曝光后，消费者愤怒情绪集中爆发，大量评论谴责卫生问题，质疑官方“隔壁跑入老鼠”的解释，并呼吁维权与行业整改，形成对品牌信任的首次重创。  
2. **分化期（129-153小时）**：舆论逐渐两极分化，部分网友以“餐饮业鼠患普遍”为由淡化事件，甚至调侃；但更多消费者揭露类似经历（蟑螂、腹泻等），延伸至对连锁加盟模式和高价低质的批判，行业信任危机加剧。  
3. **蔓延期（154-178小时）**：负面情绪扩散至同类品牌（如张亮麻辣烫），公众转向“居家做饭”或竞品，讨论焦点从个案升级为对餐饮业系统性卫生问题的质疑。官方致歉未能平息舆论，调侃段子（如“鸭脖梗”）进一步削弱公信力。  
**最终影响**：事件从单一卫生问题演变为对餐饮行业监管缺位、加盟模式弊端的全面反思，品牌形象严重受损，消费者信任度持续滑坡。（199字）",1,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 10, 3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 4, 2, 7, 8, 9, 2, 7, 1, 3, 3, 1, 1, 0, 5, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 6, 2, 4, 4, 7, 22, 29, 7, 9, 6, 7, 6, 3, 3, 1, 2, 4, 2, 0, 0, 3, 12, 5, 10, 7, 13, 8, 13, 6, 4, 10, 8, 6, 8, 7, 2, 5, 2, 6, 3, 1, 0, 0, 3, 1, 6, 12, 18, 23, 23, 41, 46, 127, 116, 21]"
国足0：7日本_最终事件描述,国足0:7惨败日本事件引发舆论持续震荡，呈现出从激烈愤怒到戏谑麻木的演变轨迹。**初期（1-15小时）**，舆论以尖锐批评为主，"海参梗""解散国足"等嘲讽高频出现，民族情绪与体制质疑交织；**中期（16-36小时）**，愤怒达峰值，比分被类比"七擒孟获"等历史耻辱，系统性批判（青训腐败、高薪低能）成为共识，但伴随无力感；**后期（37小时起）**，情绪转向黑色幽默解构（"11头猪论""守门员冻感冒"），反映公众信任彻底崩塌。**长期（60小时后）**，讨论延伸至球员行为争议（赛后购物）与替代方案（村超），民族情绪持续发酵，整体呈现对足球生态的全面否定。事件从体育失利演变为社会情绪出口，暴露出公众对长期积弊的绝望心态。,1,"[0, 1, 1, 1, 1, 1, 0, 0, 1, 3, 4, 2, 3, 5, 2, 6, 23, 42, 76, 83, 61, 63, 80, 682, 1699, 1430, 637, 234, 128, 110, 84, 121, 179, 193, 295, 224, 222, 195, 215, 189, 137, 118, 107, 128, 131, 121, 71, 34, 26, 20, 11, 16, 9, 10, 8, 4, 2, 7, 6, 7, 12, 6, 11, 7, 7, 7, 9, 5, 8, 4, 6, 5, 4, 7, 4, 2, 3, 2, 1, 1, 0, 3, 4, 3, 2, 4, 5, 4, 3, 3, 3, 2, 1, 2, 2, 6, 1, 4, 3, 2, 0, 0, 0, 2, 1, 1, 0, 3, 5, 4, 2, 3, 8, 1, 2, 2, 1, 3, 2, 2, 2, 0, 0, 1, 0, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 3, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
色狼拍空姐她拍色狼_最终事件描述,"**事件总描述：**  
“色狼拍空姐她拍色狼”事件曝光后迅速引发舆论热议。初期，公众强烈谴责偷拍者的违法行为，认为其5天拘留处罚过轻，同时赞扬空姐反拍取证的行为彰显勇气。争议焦点随后转向职场性别平等问题：部分声音呼吁航空公司将空乘裙装改为裤装以减少安全隐患，另一派则强调应严惩犯罪而非限制着装自由，双方形成激烈辩论。偷拍者“进厕所10分钟”等细节被广泛嘲讽，折射出对扭曲动机的不解与批判。事件情绪以愤怒为主，但逐渐延伸至对女性职业环境、社会安全机制的深层反思，推动公众从个案谴责转向系统性性别平等与法治完善的讨论。整体呈现从具体事件到社会议题的升级趋势。",0,[60]
网友造谣自己强奸未成年被行拘_最终事件描述,该事件始于一名网友自造“强奸未成年”的恶性谣言并被行拘，引发持续数日的舆论震荡。初期（1-7小时）舆论以震惊、荒诞感为主，高频词如“逆天”“离谱”反映对极端行为的难以置信，同时伴随对流量驱使下网络乱象的批判。中期（8-12小时）讨论焦点转向对造谣者的嘲讽与动机质疑，“抽象”“想火想疯了”等词频现，戏谑情绪占主导，法律争议（如寻衅滋事定性）和平台责任成为衍生话题。后期（13-367小时）舆论趋于分化：一方面延续荒诞调侃（如“人才”“吃牢饭”），另一方面深化对法律后果（呼吁严惩）和社会生态（网红经济畸形）的反思。整体呈现从猎奇到批判的递进，始终围绕“突破底线博流量”的核心矛盾，最终将个案上升为对网络环境治理的公共讨论。,0,"[0, 0, 0, 0, 0, 1, 1, 1, 22, 12, 3, 4, 6, 5, 3, 3, 1, 2, 1, 0, 1, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 4, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
多方回应学生坠亡家长怀疑被霸凌_最终事件描述,"**事件总述：**  
学生坠亡事件引发持续260余小时的舆论风暴，核心矛盾围绕家长质疑校园霸凌与校方“小打小闹”的定性冲突。初期（1-259小时），公众强烈质疑“自杀”结论，要求公开监控彻查真相，并抨击甘肃校园霸凌频发与官方消极态度，情绪以愤怒、悲痛为主。中期（260-264小时），舆情持续升级，焦点转向校方及教育局的责任回避，舆论批评其淡化暴力、包庇嫌疑，同时呼吁完善霸凌干预机制，极端言论（如以暴制暴）显现。后期（265小时），矛盾集中于校方回应与公众认知的严重偏差，第三方介入调查呼声高涨，关联案例（如吴川三中）被重提，凸显公众对制度性不作为的积怨。整体趋势呈现从个案质疑到系统性批判的演变，立法严惩霸凌、强化心理干预成为核心诉求，反映出社会对青少年保护与教育透明度的深层焦虑。（198字）",0,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25, 5, 1, 6, 94, 47]"
女童被碾身亡案被告人获刑十个月_最终事件描述,"**女童被碾身亡案被告人获刑十个月事件总述**  
该事件自发生至判决后持续引发舆论震荡，核心围绕责任划分与司法量刑展开。初期（1-1021小时）焦点集中于监护失职与司机过失的争议，舆论分化明显，既有对家长看护不力的谴责，也有对司机盲区客观性的辩护，同时衍生出交通安全与驾考制度的反思。中期（1022-1023小时）类似案件被提及，公众焦虑升级，讨论延伸至小区人车管理及车辆安全技术。后期（1024-1026小时）量刑争议成为主导，多数认为十个月刑期过轻，质疑司法公正，同时监护责任与司机过失的辩论持续胶着，情绪以愤怒与悲痛为主。事件全程凸显公众对儿童安全、监护立法及交通法规完善的迫切诉求，舆论从个案批判逐渐转向对社会治理体系的深层反思。",0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 3, 3, 3, 0, 2, 3, 0, 2, 0, 2, 0, 0, 0, 1, 2, 3, 3, 1, 1, 7, 2, 3, 1, 1, 6, 2, 3, 3, 1, 1, 2, 4, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 2, 0, 1, 3, 0, 5, 1, 0, 7, 6, 6, 53, 103, 24]"
韩国15岁以下女团选秀停播_最终事件描述,韩国15岁以下女团选秀停播事件在爆发后4小时内迅速引发舆论海啸，呈现一边倒的批判态势。事件初期（1-2小时），公众愤怒集中于对未成年剥削的谴责，以金秀贤、金赛纶等童星案例佐证行业乱象，支持停播成为主流共识。随着讨论深入（3-4小时），舆论焦点扩展至三重维度：一是对参与者低龄化（最低9岁）的强烈质疑，直指节目隐含的恋童癖风险；二是对韩国娱乐产业畸形生态的系统性批判，包括财阀操控、未成年人商品化等问题，甚至出现"萝莉岛"类比；三是对跨国娱乐伦理的对比反思，中国"养成系"监管被作为参照。情绪始终以愤怒和讽刺为主导，虽偶有"追梦权"争议但迅速被淹没。事件最终演变为对韩国娱乐产业底层逻辑的集体拷问，停播决定被视为保护未成年权益的必要举措，但也折射出公众对行业整改形式主义的深层忧虑。（198字）,0,"[16, 11, 24, 62, 13]"
男童被打死案父亲说天天想儿子_最终事件描述,"**事件总述：**  
男童被生母及男友虐待致死案引发持续72小时以上的舆论风暴，呈现愤怒与悲痛交织的爆发式演进。初期（1-4小时）公众聚焦司法程序（2025年3月开庭），随后情绪迅速升级为对施暴者的极端谴责，超90%评论要求死刑或酷刑，“凌迟”“畜生”等暴力词汇高频出现。核心争议围绕三点：1. **生母涉案颠覆伦理认知**，“虎毒不食子”被反复引用，其幼师身份加剧震惊；2. **离异家庭监护权隐患**，质疑抚养权归属及父亲责任；3. **司法严惩诉求**，对比重庆姐弟坠亡案等呼吁量刑一致。中后期（40小时起）讨论延伸至社会反思，包括虐童立法、婚姻重组风险及儿童保护机制缺陷。舆论始终以情绪化主导，理性空间有限，形成“杀人偿命”的绝对共识，同时折射公众对家庭暴力零容忍的集体焦虑。（199字）",1,"[0, 0, 0, 4, 48, 79, 74, 70, 64, 39, 18, 12, 6, 11, 0, 9, 8, 3, 2, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 3, 0, 0, 1, 0, 0, 1, 0, 11, 30, 22, 28, 13, 7, 5, 13, 22, 30, 33, 49, 38, 39, 31, 34, 32, 23, 14, 14, 15, 14, 32, 15, 11, 15, 3, 0, 4, 0, 4, 1, 4, 2, 3, 15, 12, 12, 137, 256, 158, 60]"
女子怀孕30周仅62斤_最终事件描述,"**事件总描述：**  
女子怀孕30周仅62斤的事件在舆论场中经历了从健康关切到伦理争议的显著演变。初期（1-140小时），讨论以健康警示和孕期管理为主，夹杂对案例真实性的质疑与实用咨询，情绪相对多元。144小时后，舆论转向对高危妊娠的担忧与母爱赞颂，但伴随对生育选择合理性的初步质疑。145-148小时，争议急剧升级，批判成为主导声音：多数谴责当事人“冒险生育”是自私行为，担忧孩子未来生存压力，并延伸至对“生育绑架”和社会伦理的反思；少量共情声音强调生育权与医疗保障问题。整体趋势呈现从个案讨论到社会观念批判的深化，情绪由关切转为愤怒与悲观，核心矛盾聚焦于特殊群体的生育权边界与社会责任。",0,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28, 25, 20, 4]"
淘宝微信支付_最终事件描述,淘宝微信支付事件在24小时内经历了从高度期待到理性讨论的完整演变。初期（1-5小时），用户情绪以兴奋为主，普遍称赞“互联互通”打破支付壁垒，认为此举提升便利性并体现反垄断政策成效，同时伴随对阿里战略动机的质疑。中期（6-23小时），舆论逐渐分化：支持者聚焦中老年用户和微信生态的实用性，反对者则批评淘宝被动妥协或落地滞后，实测反馈出现“部分账号可用”的技术波动。后期（24小时+），讨论转向实施细节与行业影响，多数用户认可长期趋势但关注开放进度不均问题，商家端竞争矛盾和政策关联性成为新焦点。整体呈现“乐观期待—争议分化—务实观察”的三阶段特征，核心矛盾始终围绕便利性提升与企业竞争策略的博弈，最终以“逐步开放”的渐进式落地收束，反映互联网平台从封闭走向协作的复杂转型过程。（199字）,0,"[2, 1, 2, 1, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
